_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Cluster,anomaly_score,Model_Result,Final_Result,Suspicious_Flag
33,106,32,1750833612130,21,1750834280071.0,667941.0,True,-1,0,0,0,2,0,2,139.0,0,169,169,329,25,1750840812130.0,493,1,3612,33,True,0,382,61,51,False,4779.0,0,1,3.9001711770909497,Anomaly,Anomaly,Suspicious
35,32,34,1750834280071,89,1751209034767.0,374754696.0,True,-1,0,0,0,2,0,0,137.0,0,159,159,1,27,1750841480071.0,482,1,3612,33,False,0,383,61,51,False,4779.0,0,1,4.462397176282969,Anomaly,Anomaly,Suspicious
46,92,45,1750854273116,27,1750863867767.0,9594651.0,True,-1,1,0,0,0,0,1,137.0,0,297,297,73,33,1750861473116.0,447,1,106293,14,False,0,156,24,26,False,106161.0,0,3,7.041112306682046,Anomaly,Anomaly,Suspicious
97,0,96,1751000686438,61,1751003280539.0,2594101.0,True,-1,0,0,0,2,0,2,139.0,0,74,74,364,68,1751007886438.0,417,1,93359,45,True,0,301,80,64,False,94526.0,0,1,3.8179971922732183,Anomaly,Anomaly,Suspicious
72,100,71,1750929598858,133,1751354688756.0,425089898.0,True,-1,0,0,0,2,0,0,137.0,0,51,51,229,46,1750936798858.0,360,1,89630,41,False,0,255,73,59,False,90797.0,0,1,4.202328049025209,Anomaly,Anomaly,Suspicious
148,57,147,1751271266887,96,1751271543674.0,276787.0,True,-1,0,0,0,2,1,2,115.0,0,27,27,193,106,1751278466887.0,280,1,85116,11,True,0,357,21,19,False,86283.0,0,3,5.354836600507533,Anomaly,Anomaly,Suspicious
386,38,385,1751959640757,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,190,1,117896,44,False,0,413,-1,65,False,117685.0,0,2,4.4385976867230275,Anomaly,Anomaly,Suspicious
387,38,386,1751959729342,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,187,1,117896,44,False,0,413,-1,65,False,117685.0,0,2,4.442089451152523,Anomaly,Anomaly,Suspicious
155,57,154,1751278043034,101,1751278248976.0,205942.0,True,-1,0,0,0,2,1,2,115.0,0,29,29,165,113,1751285243034.0,281,1,85116,11,True,0,359,21,19,False,86283.0,0,3,5.363749505593338,Anomaly,Anomaly,Suspicious
156,57,155,1751278259127,102,1751278289190.0,30063.0,True,-1,0,0,0,2,1,2,115.0,0,33,33,240,114,1751285459127.0,276,1,85116,11,True,0,360,21,19,False,86283.0,0,3,5.3415063035416335,Anomaly,Anomaly,Suspicious
164,57,163,1751279917100,112,1751279968687.0,51587.0,True,-1,0,0,0,2,1,2,115.0,0,34,34,324,122,1751287117100.0,274,1,85116,11,True,0,364,21,19,False,86283.0,0,3,5.405272006845893,Anomaly,Anomaly,Suspicious
219,124,218,1751377484580,159,1751390779212.0,13294632.0,True,-1,1,0,0,0,0,1,137.0,0,318,318,298,168,1751384684580.0,443,1,106293,14,False,0,166,24,26,False,106161.0,0,3,7.172446840377384,Anomaly,Anomaly,Suspicious
221,54,220,1751426920901,162,1751434146280.0,7225379.0,True,-1,1,0,0,0,0,1,137.0,0,312,312,216,170,1751434120901.0,444,1,106293,14,False,0,168,24,26,False,106161.0,0,3,6.876704505327459,Anomaly,Anomaly,Suspicious
350,55,349,1751717760629,-1,,7200000.0,True,-1,1,0,0,0,0,1,137.0,0,277,277,5,287,1751724960629.0,114,1,104807,28,False,0,131,54,41,False,105974.0,0,1,7.624151734707699,Anomaly,Anomaly,Suspicious
235,42,234,1751440519550,255,1751708701931.0,268182381.0,True,-1,0,0,0,2,0,3,138.0,0,11,11,389,182,1751447719550.0,194,1,77800,16,False,0,261,28,29,False,78967.0,0,3,3.819349926621866,Anomaly,Anomaly,Suspicious
238,26,237,1751440898325,175,1751441457699.0,559374.0,True,-1,0,0,0,2,2,2,115.0,0,337,337,268,185,1751448098325.0,168,1,106897,7,True,0,198,10,13,False,106765.0,0,3,5.841731789298224,Anomaly,Anomaly,Suspicious
255,54,254,1751460266846,192,1751460563431.0,296585.0,True,-1,1,0,0,0,0,1,137.0,0,163,163,78,202,1751467466846.0,469,1,3612,33,True,0,388,61,51,False,4779.0,0,1,6.864868588418746,Anomaly,Anomaly,Suspicious
258,54,257,1751460787691,195,1751460801145.0,13454.0,True,-1,1,0,0,0,0,1,137.0,0,171,171,343,205,1751467987691.0,468,1,3612,33,True,0,389,61,51,False,4779.0,0,1,6.916107271279864,Anomaly,Anomaly,Suspicious
496,12,495,1756452319504,-1,,,False,1,0,0,0,2,0,2,142.0,0,-1,-1,-1,-1,,137,1,33109,5,False,0,413,-1,9,False,34276.0,0,2,4.252030450269281,Anomaly,Anomaly,Suspicious
321,56,320,1751707388010,-1,,,False,1,1,0,0,0,0,1,137.0,0,-1,-1,-1,-1,,113,1,999999,22,False,0,413,-1,30,False,999999.0,0,2,9.04617794065901,Anomaly,Anomaly,Suspicious
