_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Model_Result,Final_Result,anomaly_score,Suspicious_Flag
2,108,1,1750238321008,8,1750496101867.0,257780859.0,True,-1,0,0,0,2,0,2,139.0,0,79,79,356,1,1750245521008.0,244,1,93543,8,False,0,109,11,14,False,94710.0,0,Anomaly,Anomaly,0.10982853725030284,Suspicious
46,92,45,1750854273116,27,1750863867767.0,9594651.0,True,-1,1,0,0,0,0,1,137.0,0,297,297,73,33,1750861473116.0,447,1,106293,14,False,0,156,24,26,False,106161.0,0,Anomaly,Anomaly,0.09547609983854344,Suspicious
93,21,92,1750938017616,55,1750938919007.0,901391.0,True,-1,0,0,0,2,0,2,139.0,0,398,398,231,64,1750945217616.0,509,1,999999,22,True,0,30,45,30,False,999999.0,0,Anomaly,Anomaly,0.09831256130785337,Suspicious
94,21,93,1750938919007,56,1750941494606.0,2575599.0,True,-1,0,0,0,2,0,2,139.0,0,408,408,354,65,1750946119007.0,512,1,999999,22,True,0,1,44,30,False,999999.0,0,Anomaly,Anomaly,0.08105394605444927,Suspicious
81,93,80,1750932408264,64,1751007105679.0,74697415.0,True,-1,1,0,0,0,0,1,137.0,0,306,306,130,55,1750939608264.0,442,1,106293,14,False,0,158,24,26,False,106161.0,0,Anomaly,Anomaly,0.09992966310269646,Suspicious
216,21,215,1751366626859,157,1751368350876.0,1724017.0,True,-1,0,0,0,2,0,2,140.0,0,396,396,218,165,1751373826859.0,19,1,999999,22,True,0,17,41,30,False,999999.0,0,Anomaly,Anomaly,0.12686151123371425,Suspicious
132,21,131,1751027021199,86,1751027387615.0,366416.0,True,-1,0,0,0,2,0,2,140.0,0,401,401,249,94,1751034221199.0,30,1,999999,22,True,0,3,44,30,False,999999.0,0,Anomaly,Anomaly,0.10163467973806983,Suspicious
149,21,148,1751272599567,117,1751280568164.0,7968597.0,True,-1,0,0,0,2,0,2,140.0,0,399,399,238,107,1751279799567.0,36,1,999999,22,False,0,4,44,30,False,999999.0,0,Anomaly,Anomaly,0.1129778550814613,Suspicious
218,4,217,1751374404398,158,1751374519192.0,114794.0,True,-1,0,0,0,2,0,0,138.0,0,384,384,36,167,1751381604398.0,13,1,999999,22,True,0,18,41,30,False,999999.0,0,Anomaly,Anomaly,0.10151180335337395,Suspicious
220,124,219,1751390779212,160,1751426920901.0,36141689.0,True,-1,1,0,0,0,0,1,137.0,0,295,295,42,169,1751397979212.0,445,1,106293,14,False,0,167,24,26,False,106161.0,0,Anomaly,Anomaly,0.11433167613320239,Suspicious
350,55,349,1751717760629,-1,,7200000.0,True,-1,1,0,0,0,0,1,137.0,0,277,277,5,287,1751724960629.0,114,1,104807,28,False,0,131,54,41,False,105974.0,0,Anomaly,Anomaly,0.08866458275920686,Suspicious
238,26,237,1751440898325,175,1751441457699.0,559374.0,True,-1,0,0,0,2,2,2,115.0,0,337,337,268,185,1751448098325.0,168,1,106897,7,True,0,198,10,13,False,106765.0,0,Anomaly,Anomaly,0.08289007208907717,Suspicious
333,15,332,1751709541745,278,1751720929492.0,11387747.0,True,-1,0,0,0,2,0,0,137.0,0,382,382,9,274,1751716741745.0,9,1,999999,22,False,0,27,42,30,False,999999.0,0,Anomaly,Anomaly,0.1098422695661535,Suspicious
355,21,354,1751721112706,280,1751721366451.0,253745.0,True,-1,0,0,0,2,0,2,140.0,0,410,410,380,292,1751728312706.0,32,1,999999,22,True,0,7,39,30,False,999999.0,0,Anomaly,Anomaly,0.1183148713752743,Suspicious
489,16,488,1755169404002,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,45,1,108525,37,False,0,413,-1,63,False,108389.0,0,Anomaly,Anomaly,0.06791877455033735,Suspicious
254,54,253,1751460068213,191,1751460251582.0,183369.0,True,-1,1,0,0,0,0,1,137.0,0,300,300,98,201,1751467268213.0,446,1,106293,14,True,0,172,24,26,False,106161.0,0,Anomaly,Anomaly,0.12626887924865715,Suspicious
256,54,255,1751460581598,193,1751460619960.0,38362.0,True,-1,1,0,0,0,0,1,137.0,0,322,322,332,203,1751467781598.0,440,1,106293,14,True,0,173,24,26,False,106161.0,0,Anomaly,Anomaly,0.11881076199567642,Suspicious
257,54,256,1751460634755,194,1751460774964.0,140209.0,True,-1,1,0,0,0,0,1,137.0,0,291,291,8,204,1751467834755.0,441,1,106293,14,True,0,174,24,26,False,106161.0,0,Anomaly,Anomaly,0.1202774277710339,Suspicious
258,54,257,1751460787691,195,1751460801145.0,13454.0,True,-1,1,0,0,0,0,1,137.0,0,171,171,343,205,1751467987691.0,468,1,3612,33,True,0,389,61,51,False,4779.0,0,Anomaly,Anomaly,0.11211580471001303,Suspicious
260,54,259,1751482355789,200,1751599142592.0,116786803.0,True,-1,1,0,0,0,0,1,137.0,0,167,167,320,207,1751489555789.0,473,1,3612,33,False,0,391,61,51,False,4779.0,0,Anomaly,Anomaly,0.10062543752677178,Suspicious
280,15,279,1751618557731,216,1751623443053.0,4885322.0,True,-1,0,0,0,2,0,0,137.0,0,386,386,48,227,1751625757731.0,6,1,999999,22,True,0,20,41,30,False,999999.0,0,Anomaly,Anomaly,0.12009446312315131,Suspicious
282,14,281,1751623702134,218,1751623906235.0,204101.0,True,-1,0,0,0,2,0,3,138.0,0,402,402,253,229,1751630902134.0,4,1,999999,22,True,0,22,41,30,False,999999.0,0,Anomaly,Anomaly,0.09667937211031763,Suspicious
295,15,294,1751629371574,226,1751630337861.0,966287.0,True,-1,0,0,0,2,0,0,137.0,0,400,400,245,238,1751636571574.0,7,1,999999,22,True,0,23,41,30,False,999999.0,0,Anomaly,Anomaly,0.12252339042438132,Suspicious
373,86,372,1751872650031,295,1751873384278.0,734247.0,True,-1,0,0,0,2,0,2,140.0,0,354,354,56,308,1751879850031.0,497,1,109292,47,True,0,270,85,69,False,109156.0,0,Anomaly,Anomaly,0.12666138365389334,Suspicious
399,62,398,1751970092200,308,1751970317920.0,225720.0,True,-1,0,0,0,2,1,2,115.0,0,364,364,119,321,1751977292200.0,370,1,110818,18,True,0,88,32,33,False,110682.0,0,Anomaly,Anomaly,0.1169068251507348,Suspicious
322,56,321,1751707410307,256,1751708818496.0,1408189.0,True,-1,1,0,0,0,0,1,137.0,0,407,407,334,263,1751714610307.0,16,1,999999,22,True,0,25,42,30,False,999999.0,0,Anomaly,Anomaly,0.01446617625964608,Suspicious
400,62,399,1751970338327,310,1751970437147.0,98820.0,True,-1,0,0,0,2,1,2,115.0,0,28,28,137,322,1751977538327.0,498,1,85116,11,True,0,371,21,19,False,86283.0,0,Anomaly,Anomaly,0.10807124745785257,Suspicious
402,62,401,1751970467422,311,1751970715032.0,247610.0,True,-1,0,0,0,2,1,2,115.0,0,361,361,87,324,1751977667422.0,369,1,110818,18,True,0,89,32,33,False,110682.0,0,Anomaly,Anomaly,0.11710553470744434,Suspicious
362,21,361,1751869591767,314,1751973772649.0,104180882.0,True,-1,0,0,0,2,0,2,140.0,0,389,389,88,299,1751876791767.0,31,1,999999,22,False,0,8,40,30,False,999999.0,0,Anomaly,Anomaly,0.10459722772748359,Suspicious
