_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Model_Result,Final_Result,anomaly_score
1,53,0,1750184085944,0,1750184247794.0,161850.0,True,-1,0,0,0,2,0,0,137.0,0,124,124,251,0,1750187685944.0,368,1,1424,2,True,0,31,2,7,False,705.0,0,Anomaly,Anomaly,0.0637054085540757
2,108,1,1750238321008,8,1750496101867.0,257780859.0,True,-1,0,0,0,2,0,2,139.0,0,79,79,356,1,1750245521008.0,244,1,93543,8,False,0,109,11,14,False,94710.0,0,Anomaly,Anomaly,0.12288319402100012
4,116,3,1750246540828,-1,,,False,0,0,0,0,2,0,2,139.0,0,-1,-1,-1,-1,,456,1,0,-1,False,0,413,-1,25,False,,0,Anomaly,Anomaly,0.12303348784634238
20,41,19,1750660202519,11,1750660653626.0,451107.0,True,-1,0,0,0,2,0,0,137.0,0,369,369,200,14,1750667402519.0,15,1,117510,3,True,0,229,4,8,False,117320.0,0,Anomaly,Anomaly,0.11793750359280752
21,41,20,1750660676249,12,1750661076262.0,400013.0,True,-1,0,0,0,2,0,0,137.0,0,367,367,57,15,1750667876249.0,12,1,117510,3,True,0,230,4,8,False,117320.0,0,Anomaly,Anomaly,0.11772053619357603
329,21,328,1751708818496,257,1751708935761.0,117265.0,True,-1,0,0,0,2,0,2,140.0,0,392,392,166,270,1751716018496.0,513,1,999999,22,True,0,26,42,30,False,999999.0,0,Anomaly,Anomaly,0.12404783200350356
29,94,28,1750829047538,17,1750833569062.0,4521524.0,True,-1,1,0,0,0,0,1,137.0,0,170,170,350,21,1750836247538.0,470,1,3612,33,True,0,380,61,51,False,4779.0,0,Anomaly,Anomaly,0.04932968802663984
35,32,34,1750834280071,89,1751209034767.0,374754696.0,True,-1,0,0,0,2,0,0,137.0,0,159,159,1,27,1750841480071.0,482,1,3612,33,False,0,383,61,51,False,4779.0,0,Anomaly,Anomaly,0.11267303122867278
46,92,45,1750854273116,27,1750863867767.0,9594651.0,True,-1,1,0,0,0,0,1,137.0,0,297,297,73,33,1750861473116.0,447,1,106293,14,False,0,156,24,26,False,106161.0,0,Anomaly,Anomaly,0.08317802771311034
65,0,64,1750928264861,-1,,,False,2,0,0,0,2,0,2,139.0,0,-1,-1,-1,-1,,307,1,0,-1,False,0,413,-1,64,False,,0,Anomaly,Anomaly,0.13029728507918914
93,21,92,1750938017616,55,1750938919007.0,901391.0,True,-1,0,0,0,2,0,2,139.0,0,398,398,231,64,1750945217616.0,509,1,999999,22,True,0,30,45,30,False,999999.0,0,Anomaly,Anomaly,0.09763956306222055
92,21,91,1750937978821,53,1750938017616.0,38795.0,True,-1,0,0,0,2,0,2,139.0,0,390,390,106,63,1750945178821.0,26,1,999999,22,True,0,29,45,30,False,999999.0,0,Anomaly,Anomaly,0.10053858006802374
94,21,93,1750938919007,56,1750941494606.0,2575599.0,True,-1,0,0,0,2,0,2,139.0,0,408,408,354,65,1750946119007.0,512,1,999999,22,True,0,1,44,30,False,999999.0,0,Anomaly,Anomaly,0.0886752123338922
96,17,95,1750941494606,57,1750941643245.0,148639.0,True,-1,0,0,0,1,4,0,137.0,0,388,388,70,67,1750948694606.0,489,1,999999,22,True,0,2,44,30,False,999999.0,0,Anomaly,Anomaly,0.022881919899621628
169,15,168,1751280568164,132,1751354492251.0,73924087.0,True,-1,0,0,0,2,0,0,137.0,0,387,387,60,127,1751287768164.0,10,1,999999,22,False,0,5,44,30,False,999999.0,0,Anomaly,Anomaly,0.10571938051692908
81,93,80,1750932408264,64,1751007105679.0,74697415.0,True,-1,1,0,0,0,0,1,137.0,0,306,306,130,55,1750939608264.0,442,1,106293,14,False,0,158,24,26,False,106161.0,0,Anomaly,Anomaly,0.1023963326312245
193,21,192,1751354492251,135,1751355168312.0,676061.0,True,-1,0,0,0,2,0,2,140.0,0,411,411,395,144,1751361692251.0,28,1,999999,22,True,0,0,43,30,False,999999.0,0,Anomaly,Anomaly,0.11398952698136389
286,48,285,1751626374063,-1,,,False,0,0,0,0,2,0,3,138.0,0,-1,-1,-1,-1,,73,1,0,-1,False,0,413,-1,11,False,,0,Anomaly,Anomaly,0.1293434421367895
132,21,131,1751027021199,86,1751027387615.0,366416.0,True,-1,0,0,0,2,0,2,140.0,0,401,401,249,94,1751034221199.0,30,1,999999,22,True,0,3,44,30,False,999999.0,0,Anomaly,Anomaly,0.10420469570193902
288,48,287,1751626411145,-1,,,False,0,0,0,0,2,0,3,138.0,0,-1,-1,-1,-1,,72,1,0,-1,False,0,413,-1,11,False,,0,Anomaly,Anomaly,0.1293434421367895
149,21,148,1751272599567,117,1751280568164.0,7968597.0,True,-1,0,0,0,2,0,2,140.0,0,399,399,238,107,1751279799567.0,36,1,999999,22,False,0,4,44,30,False,999999.0,0,Anomaly,Anomaly,0.121854878756952
386,38,385,1751959640757,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,190,1,117896,44,False,0,413,-1,65,False,117685.0,0,Anomaly,Anomaly,0.12692656775886924
387,38,386,1751959729342,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,187,1,117896,44,False,0,413,-1,65,False,117685.0,0,Anomaly,Anomaly,0.12671356814968315
218,4,217,1751374404398,158,1751374519192.0,114794.0,True,-1,0,0,0,2,0,0,138.0,0,384,384,36,167,1751381604398.0,13,1,999999,22,True,0,18,41,30,False,999999.0,0,Anomaly,Anomaly,0.12124954861791393
79,29,78,1750931973810,104,1751278706933.0,346733123.0,True,-1,0,0,0,2,0,2,139.0,0,44,44,96,53,1750939173810.0,147,1,89515,46,False,0,34,84,67,False,90682.0,0,Anomaly,Anomaly,0.11520240933520709
219,124,218,1751377484580,159,1751390779212.0,13294632.0,True,-1,1,0,0,0,0,1,137.0,0,318,318,298,168,1751384684580.0,443,1,106293,14,False,0,166,24,26,False,106161.0,0,Anomaly,Anomaly,0.12737943877892322
350,55,349,1751717760629,-1,,7200000.0,True,-1,1,0,0,0,0,1,137.0,0,277,277,5,287,1751724960629.0,114,1,104807,28,False,0,131,54,41,False,105974.0,0,Anomaly,Anomaly,0.08064171315690072
388,38,387,1751959757793,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,189,1,117896,44,False,0,413,-1,65,False,117685.0,0,Anomaly,Anomaly,0.12742187373602076
238,26,237,1751440898325,175,1751441457699.0,559374.0,True,-1,0,0,0,2,2,2,115.0,0,337,337,268,185,1751448098325.0,168,1,106897,7,True,0,198,10,13,False,106765.0,0,Anomaly,Anomaly,0.12765924741982715
351,87,350,1751717937720,276,1751719292831.0,1355111.0,True,-1,0,0,0,2,0,3,138.0,0,126,126,159,288,1751725137720.0,459,1,1442,42,True,0,319,75,58,False,723.0,0,Anomaly,Anomaly,0.11033956178175364
