_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Model_Result,Final_Result,anomaly_score,Suspicious_Flag
452,97,451,1753716723299,355,1753716795416.0,72117.0,True,-1,0,0,0,2,0,0,138.0,0,161,161,45,364,1753723923299.0,465,1,3612,33,True,0,399,62,51,False,4779.0,0,Anomaly,Anomaly,0.11070608710736896,Suspicious
462,16,461,1753880975788,364,1753963386049.0,82410261.0,True,-1,0,0,0,1,4,0,138.0,0,112,112,289,372,1753888175788.0,477,1,784,9,False,0,294,17,17,False,66.0,0,Anomaly,Anomaly,0.06914187755658352,Suspicious
469,50,468,1753988097632,369,1754036068155.0,47970523.0,True,-1,0,0,0,2,0,0,138.0,0,125,125,46,378,1753995297632.0,49,1,1424,2,False,0,32,3,7,False,705.0,0,Anomaly,Anomaly,0.10287460309590057,Suspicious
470,20,469,1754036068155,-1,,7200000.0,True,-1,0,0,0,2,0,2,141.0,0,123,123,224,379,1754043268155.0,125,1,1424,2,False,0,33,3,7,False,705.0,0,Anomaly,Anomaly,0.1303376673791241,Suspicious
471,13,470,1754136383998,-1,,,False,1,0,0,0,2,0,0,138.0,0,-1,-1,-1,-1,,37,1,33109,5,False,0,413,-1,9,False,34276.0,0,Anomaly,Anomaly,0.11575548967411997,Suspicious
481,7,480,1754995845636,378,1754995965360.0,119724.0,True,-1,0,0,0,2,0,0,139.0,0,166,166,300,387,1755003045636.0,116,1,3612,33,True,0,397,63,51,False,4779.0,0,Anomaly,Anomaly,0.10901282054130501,Suspicious
483,7,482,1755155281981,-1,,7200000.0,True,-1,0,0,0,2,0,0,139.0,0,362,362,112,389,1755162481981.0,119,1,110818,18,False,0,91,33,33,False,110682.0,0,Anomaly,Anomaly,0.10856570180368941,Suspicious
485,16,484,1755166693933,381,1755166742893.0,48960.0,True,-1,0,0,0,1,4,0,139.0,0,339,339,18,391,1755173893933.0,476,1,106901,30,True,0,192,58,43,False,106769.0,0,Anomaly,Anomaly,0.05787808494380431,Suspicious
484,7,483,1755165005086,380,1755166693933.0,1688847.0,True,-1,0,0,0,2,0,0,139.0,0,347,347,337,390,1755172205086.0,118,1,106901,30,True,0,191,58,43,False,106769.0,0,Anomaly,Anomaly,0.10646700810551268,Suspicious
487,16,486,1755167345503,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,42,1,108525,37,False,0,413,-1,63,False,108389.0,0,Anomaly,Anomaly,0.07942208772443304,Suspicious
490,16,489,1755169427457,-1,,7200000.0,True,-1,0,0,0,1,4,0,139.0,0,345,345,219,393,1755176627457.0,44,1,106901,30,False,0,194,58,43,False,106769.0,0,Anomaly,Anomaly,0.0718330795784512,Suspicious
491,16,490,1755169532287,-1,,7200000.0,True,-1,0,0,0,1,4,0,139.0,0,351,351,92,394,1755176732287.0,53,1,108525,37,False,0,268,69,63,False,108389.0,0,Anomaly,Anomaly,0.05770182652274736,Suspicious
497,16,496,1757143142734,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,52,1,33109,5,False,0,413,-1,9,False,34276.0,0,Anomaly,Anomaly,0.07841692585578597,Suspicious
502,13,501,1758020531661,-1,,,False,1,0,0,0,2,0,0,140.0,0,-1,-1,-1,-1,,341,1,784,9,False,0,413,-1,17,False,66.0,0,Anomaly,Anomaly,0.0983171662662351,Suspicious
503,20,502,1758020737671,390,1758020809755.0,72084.0,True,-1,0,0,0,2,0,2,142.0,0,116,116,357,402,1758027937671.0,134,1,784,9,True,0,279,14,17,False,66.0,0,Anomaly,Anomaly,0.12641217619665135,Suspicious
504,13,503,1758020809755,391,1758184887366.0,164077611.0,True,-1,0,0,0,2,0,0,140.0,0,119,119,412,403,1758028009755.0,478,1,784,9,False,0,280,14,17,False,66.0,0,Anomaly,Anomaly,0.07890566250852271,Suspicious
508,18,507,1758544688882,-1,,,False,1,0,0,0,1,3,0,133.0,0,-1,-1,-1,-1,,515,1,33109,5,False,1,413,-1,9,False,34276.0,0,Anomaly,Anomaly,0.0,Suspicious
510,18,509,1758544828379,395,1758612268787.0,67440408.0,True,-1,0,0,0,1,4,0,133.0,0,176,176,358,407,1758552028379.0,62,1,33109,5,False,0,236,8,9,False,34276.0,0,Anomaly,Anomaly,0.046740331599631646,Suspicious
512,18,511,1758613736835,397,1758613744803.0,7968.0,True,-1,0,0,0,1,4,0,133.0,0,65,65,17,409,1758620936835.0,59,1,93359,45,True,0,306,82,64,False,94526.0,0,Anomaly,Anomaly,0.023024539452984882,Suspicious
514,18,513,1758613876265,-1,,,False,3,0,0,0,1,4,0,133.0,0,-1,-1,-1,-1,,58,1,89129,32,False,0,413,-1,48,False,90296.0,0,Anomaly,Anomaly,0.04009834505114551,Suspicious
