_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Cluster,anomaly_score,Model_Result,Final_Result,Suspicious_Flag
461,16,460,1753880939208,-1,,,False,1,0,0,0,1,4,0,138.0,0,-1,-1,-1,-1,,48,1,33109,5,False,0,413,-1,9,False,34276.0,0,0,6.049820076831572,Anomaly,Anomaly,Suspicious
464,3,463,1753962798062,366,1753965824078.0,3026016.0,True,-1,0,0,0,2,0,3,138.0,0,71,71,177,373,1753969998062.0,54,1,93359,45,True,0,309,83,64,False,94526.0,0,1,5.229501575721438,Anomaly,Anomaly,Suspicious
462,16,461,1753880975788,364,1753963386049.0,82410261.0,True,-1,0,0,0,1,4,0,138.0,0,112,112,289,372,1753888175788.0,477,1,784,9,False,0,294,17,17,False,66.0,0,1,6.656949757935201,Anomaly,Anomaly,Suspicious
470,20,469,1754036068155,-1,,7200000.0,True,-1,0,0,0,2,0,2,141.0,0,123,123,224,379,1754043268155.0,125,1,1424,2,False,0,33,3,7,False,705.0,0,1,5.223336165387529,Anomaly,Anomaly,Suspicious
472,49,471,1754136536703,-1,,,False,1,1,0,0,0,0,1,138.0,0,-1,-1,-1,-1,,112,1,33109,5,False,0,413,-1,9,False,34276.0,0,0,7.375569236318506,Anomaly,Anomaly,Suspicious
487,16,486,1755167345503,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,42,1,108525,37,False,0,413,-1,63,False,108389.0,0,0,6.618092947764348,Anomaly,Anomaly,Suspicious
488,16,487,1755167362648,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,43,1,108525,37,False,0,413,-1,63,False,108389.0,0,0,6.620146021227818,Anomaly,Anomaly,Suspicious
490,16,489,1755169427457,-1,,7200000.0,True,-1,0,0,0,1,4,0,139.0,0,345,345,219,393,1755176627457.0,44,1,106901,30,False,0,194,58,43,False,106769.0,0,1,7.287811026734356,Anomaly,Anomaly,Suspicious
498,16,497,1757143170660,386,1757143399437.0,228777.0,True,-1,0,0,0,1,4,0,139.0,0,110,110,256,398,1757150370660.0,51,1,784,9,True,0,285,15,17,False,66.0,0,1,7.467436599464826,Anomaly,Anomaly,Suspicious
499,20,498,1757144741991,387,1757146020180.0,1278189.0,True,-1,0,0,0,2,0,2,142.0,0,96,96,63,399,1757151941991.0,136,1,784,9,True,0,286,15,17,False,66.0,0,1,5.395758116511371,Anomaly,Anomaly,Suspicious
503,20,502,1758020737671,390,1758020809755.0,72084.0,True,-1,0,0,0,2,0,2,142.0,0,116,116,357,402,1758027937671.0,134,1,784,9,True,0,279,14,17,False,66.0,0,1,5.74035191669993,Anomaly,Anomaly,Suspicious
506,20,505,1758285654122,393,1758285963246.0,309124.0,True,-1,0,0,0,2,0,2,142.0,0,108,108,223,405,1758292854122.0,126,1,784,9,True,0,282,14,17,False,66.0,0,1,5.79099586306759,Anomaly,Anomaly,Suspicious
507,20,506,1758285972971,394,1758286198888.0,225917.0,True,-1,0,0,0,2,0,2,142.0,0,118,118,397,406,1758293172971.0,124,1,784,9,True,0,298,18,17,False,66.0,0,1,5.9423163621790085,Anomaly,Anomaly,Suspicious
509,18,508,1758544801009,-1,,,False,1,0,0,0,1,4,0,133.0,0,-1,-1,-1,-1,,63,1,33109,5,False,0,413,-1,9,False,34276.0,0,0,7.390429722515727,Anomaly,Anomaly,Suspicious
510,18,509,1758544828379,395,1758612268787.0,67440408.0,True,-1,0,0,0,1,4,0,133.0,0,176,176,358,407,1758552028379.0,62,1,33109,5,False,0,236,8,9,False,34276.0,0,1,8.089524015832566,Anomaly,Anomaly,Suspicious
511,18,510,1758612268787,396,1758613678602.0,1409815.0,True,-1,0,0,0,1,4,0,133.0,0,179,179,407,408,1758619468787.0,60,1,33109,5,True,0,237,8,9,False,34276.0,0,1,8.179995178795794,Anomaly,Anomaly,Suspicious
513,18,512,1758613804440,398,1758613821286.0,16846.0,True,-1,0,0,0,1,4,0,133.0,0,178,178,403,410,1758621004440.0,56,1,33109,5,True,0,238,8,9,False,34276.0,0,1,8.191858726104911,Anomaly,Anomaly,Suspicious
516,18,515,1758623149632,400,1758624565769.0,1416137.0,True,-1,0,0,0,1,4,0,133.0,0,371,371,59,412,1758630349632.0,61,1,117896,44,True,0,97,79,65,False,117685.0,0,1,8.537764562693038,Anomaly,Anomaly,Suspicious
