_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Model_Result,Final_Result,anomaly_score,Suspicious_Flag
1,53,0,1750184085944,0,1750184247794.0,161850.0,True,-1,0,0,0,2,0,0,137.0,0,124,124,251,0,1750187685944.0,368,1,1424,2,True,0,31,2,7,False,705.0,0,Anomaly,Anomaly,0.07710506903030867,Suspicious
2,108,1,1750238321008,8,1750496101867.0,257780859.0,True,-1,0,0,0,2,0,2,139.0,0,79,79,356,1,1750245521008.0,244,1,93543,8,False,0,109,11,14,False,94710.0,0,Anomaly,Anomaly,0.08575940016399242,Suspicious
6,116,5,1750246835334,3,1750246923729.0,88395.0,True,-1,0,0,0,2,0,0,137.0,0,321,321,327,4,1750254035334.0,491,1,106293,14,True,0,147,24,26,False,106161.0,0,Anomaly,Anomaly,0.1287214327465117,Suspicious
5,116,4,1750246580860,2,1750246835334.0,254474.0,True,-1,0,0,0,2,0,2,139.0,0,314,314,228,3,1750253780860.0,508,1,106293,14,True,0,146,24,26,False,106161.0,0,Anomaly,Anomaly,0.12978990981537486,Suspicious
17,102,16,1750496101867,29,1750920811701.0,424709834.0,True,-1,0,0,0,2,0,2,139.0,0,80,80,378,11,1750503301867.0,252,1,93543,8,False,0,110,11,14,False,94710.0,0,Anomaly,Anomaly,0.10331153402445803,Suspicious
29,94,28,1750829047538,17,1750833569062.0,4521524.0,True,-1,1,0,0,0,0,1,137.0,0,170,170,350,21,1750836247538.0,470,1,3612,33,True,0,380,61,51,False,4779.0,0,Anomaly,Anomaly,0.08423257825474506,Suspicious
35,32,34,1750834280071,89,1751209034767.0,374754696.0,True,-1,0,0,0,2,0,0,137.0,0,159,159,1,27,1750841480071.0,482,1,3612,33,False,0,383,61,51,False,4779.0,0,Anomaly,Anomaly,0.11982396991804667,Suspicious
77,88,76,1750931573883,48,1750933418062.0,1844179.0,True,-1,0,0,0,2,0,2,140.0,0,57,57,52,51,1750938773883.0,395,1,93337,0,True,0,104,0,3,False,94504.0,0,Anomaly,Anomaly,0.1264373353787387,Suspicious
87,113,86,1750933908421,50,1750934212607.0,304186.0,True,-1,0,0,0,2,0,2,139.0,0,366,366,38,58,1750941108421.0,17,1,117510,3,True,0,231,4,8,False,117320.0,0,Anomaly,Anomaly,0.1284389345984981,Suspicious
88,113,87,1750934246598,51,1750935356273.0,1109675.0,True,-1,0,0,0,2,0,2,139.0,0,368,368,100,59,1750941446598.0,18,1,117510,3,True,0,232,4,8,False,117320.0,0,Anomaly,Anomaly,0.12385385336379007,Suspicious
