_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Model_Result,Final_Result,anomaly_score
1,53,0,1750184085944,0,1750184247794.0,161850.0,True,-1,0,0,0,2,0,0,137.0,0,124,124,251,0,1750187685944.0,368,1,1424,2,True,0,31,2,7,False,705.0,0,Anomaly,Anomaly,0.07710506903030867
2,108,1,1750238321008,8,1750496101867.0,257780859.0,True,-1,0,0,0,2,0,2,139.0,0,79,79,356,1,1750245521008.0,244,1,93543,8,False,0,109,11,14,False,94710.0,0,Anomaly,Anomaly,0.08575940016399242
6,116,5,1750246835334,3,1750246923729.0,88395.0,True,-1,0,0,0,2,0,0,137.0,0,321,321,327,4,1750254035334.0,491,1,106293,14,True,0,147,24,26,False,106161.0,0,Anomaly,Anomaly,0.1287214327465117
5,116,4,1750246580860,2,1750246835334.0,254474.0,True,-1,0,0,0,2,0,2,139.0,0,314,314,228,3,1750253780860.0,508,1,106293,14,True,0,146,24,26,False,106161.0,0,Anomaly,Anomaly,0.12978990981537486
17,102,16,1750496101867,29,1750920811701.0,424709834.0,True,-1,0,0,0,2,0,2,139.0,0,80,80,378,11,1750503301867.0,252,1,93543,8,False,0,110,11,14,False,94710.0,0,Anomaly,Anomaly,0.10331153402445803
20,41,19,1750660202519,11,1750660653626.0,451107.0,True,-1,0,0,0,2,0,0,137.0,0,369,369,200,14,1750667402519.0,15,1,117510,3,True,0,229,4,8,False,117320.0,0,Anomaly,Anomaly,0.11460795849290939
21,41,20,1750660676249,12,1750661076262.0,400013.0,True,-1,0,0,0,2,0,0,137.0,0,367,367,57,15,1750667876249.0,12,1,117510,3,True,0,230,4,8,False,117320.0,0,Anomaly,Anomaly,0.11360098045499345
29,94,28,1750829047538,17,1750833569062.0,4521524.0,True,-1,1,0,0,0,0,1,137.0,0,170,170,350,21,1750836247538.0,470,1,3612,33,True,0,380,61,51,False,4779.0,0,Anomaly,Anomaly,0.08423257825474506
35,32,34,1750834280071,89,1751209034767.0,374754696.0,True,-1,0,0,0,2,0,0,137.0,0,159,159,1,27,1750841480071.0,482,1,3612,33,False,0,383,61,51,False,4779.0,0,Anomaly,Anomaly,0.11982396991804667
46,92,45,1750854273116,27,1750863867767.0,9594651.0,True,-1,1,0,0,0,0,1,137.0,0,297,297,73,33,1750861473116.0,447,1,106293,14,False,0,156,24,26,False,106161.0,0,Anomaly,Anomaly,0.1052822332851675
51,100,50,1750920811701,32,1750922019547.0,1207846.0,True,-1,0,0,0,2,0,0,137.0,0,76,76,12,37,1750928011701.0,195,1,93543,8,True,0,111,11,14,False,94710.0,0,Anomaly,Anomaly,0.1247341921181565
77,88,76,1750931573883,48,1750933418062.0,1844179.0,True,-1,0,0,0,2,0,2,140.0,0,57,57,52,51,1750938773883.0,395,1,93337,0,True,0,104,0,3,False,94504.0,0,Anomaly,Anomaly,0.1264373353787387
87,113,86,1750933908421,50,1750934212607.0,304186.0,True,-1,0,0,0,2,0,2,139.0,0,366,366,38,58,1750941108421.0,17,1,117510,3,True,0,231,4,8,False,117320.0,0,Anomaly,Anomaly,0.1284389345984981
88,113,87,1750934246598,51,1750935356273.0,1109675.0,True,-1,0,0,0,2,0,2,139.0,0,368,368,100,59,1750941446598.0,18,1,117510,3,True,0,232,4,8,False,117320.0,0,Anomaly,Anomaly,0.12385385336379007
93,21,92,1750938017616,55,1750938919007.0,901391.0,True,-1,0,0,0,2,0,2,139.0,0,398,398,231,64,1750945217616.0,509,1,999999,22,True,0,30,45,30,False,999999.0,0,Anomaly,Anomaly,0.12618911163373125
90,58,89,1750936956881,52,1750937931781.0,974900.0,True,-1,0,0,0,2,1,2,115.0,0,30,30,167,61,1750944156881.0,285,1,85116,11,True,0,355,21,19,False,86283.0,0,Anomaly,Anomaly,0.12766792466632526
92,21,91,1750937978821,53,1750938017616.0,38795.0,True,-1,0,0,0,2,0,2,139.0,0,390,390,106,63,1750945178821.0,26,1,999999,22,True,0,29,45,30,False,999999.0,0,Anomaly,Anomaly,0.12557765093059903
94,21,93,1750938919007,56,1750941494606.0,2575599.0,True,-1,0,0,0,2,0,2,139.0,0,408,408,354,65,1750946119007.0,512,1,999999,22,True,0,1,44,30,False,999999.0,0,Anomaly,Anomaly,0.10300638200231393
96,17,95,1750941494606,57,1750941643245.0,148639.0,True,-1,0,0,0,1,4,0,137.0,0,388,388,70,67,1750948694606.0,489,1,999999,22,True,0,2,44,30,False,999999.0,0,Anomaly,Anomaly,0.016901922611879283
169,15,168,1751280568164,132,1751354492251.0,73924087.0,True,-1,0,0,0,2,0,0,137.0,0,387,387,60,127,1751287768164.0,10,1,999999,22,False,0,5,44,30,False,999999.0,0,Anomaly,Anomaly,0.1250624820601477
72,100,71,1750929598858,133,1751354688756.0,425089898.0,True,-1,0,0,0,2,0,0,137.0,0,51,51,229,46,1750936798858.0,360,1,89630,41,False,0,255,73,59,False,90797.0,0,Anomaly,Anomaly,0.12469894461699105
81,93,80,1750932408264,64,1751007105679.0,74697415.0,True,-1,1,0,0,0,0,1,137.0,0,306,306,130,55,1750939608264.0,442,1,106293,14,False,0,158,24,26,False,106161.0,0,Anomaly,Anomaly,0.11382220933809306
79,29,78,1750931973810,104,1751278706933.0,346733123.0,True,-1,0,0,0,2,0,2,139.0,0,44,44,96,53,1750939173810.0,147,1,89515,46,False,0,34,84,67,False,90682.0,0,Anomaly,Anomaly,0.09890660336950541
160,29,159,1751278706933,105,1751278816324.0,109391.0,True,-1,0,0,0,2,0,0,137.0,0,48,48,273,118,1751285906933.0,108,1,89515,46,True,0,35,84,67,False,90682.0,0,Anomaly,Anomaly,0.12942857160772409
168,57,167,1751280231107,129,1751350835929.0,70604822.0,True,-1,0,0,0,2,1,2,115.0,0,26,26,33,126,1751287431107.0,282,1,85116,11,False,0,366,21,19,False,86283.0,0,Anomaly,Anomaly,0.13013508556458325
219,124,218,1751377484580,159,1751390779212.0,13294632.0,True,-1,1,0,0,0,0,1,137.0,0,318,318,298,168,1751384684580.0,443,1,106293,14,False,0,166,24,26,False,106161.0,0,Anomaly,Anomaly,0.1149835549911783
220,124,219,1751390779212,160,1751426920901.0,36141689.0,True,-1,1,0,0,0,0,1,137.0,0,295,295,42,169,1751397979212.0,445,1,106293,14,False,0,167,24,26,False,106161.0,0,Anomaly,Anomaly,0.11934706615527257
350,55,349,1751717760629,-1,,7200000.0,True,-1,1,0,0,0,0,1,137.0,0,277,277,5,287,1751724960629.0,114,1,104807,28,False,0,131,54,41,False,105974.0,0,Anomaly,Anomaly,0.09793848853865394
238,26,237,1751440898325,175,1751441457699.0,559374.0,True,-1,0,0,0,2,2,2,115.0,0,337,337,268,185,1751448098325.0,168,1,106897,7,True,0,198,10,13,False,106765.0,0,Anomaly,Anomaly,0.1170312745113351
355,21,354,1751721112706,280,1751721366451.0,253745.0,True,-1,0,0,0,2,0,2,140.0,0,410,410,380,292,1751728312706.0,32,1,999999,22,True,0,7,39,30,False,999999.0,0,Anomaly,Anomaly,0.13316935356065013
392,38,391,1751961829651,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,265,1,117896,44,False,0,413,-1,65,False,117685.0,0,Anomaly,Anomaly,0.12941601062553681
489,16,488,1755169404002,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,45,1,108525,37,False,0,413,-1,63,False,108389.0,0,Anomaly,Anomaly,0.06376366997188532
255,54,254,1751460266846,192,1751460563431.0,296585.0,True,-1,1,0,0,0,0,1,137.0,0,163,163,78,202,1751467466846.0,469,1,3612,33,True,0,388,61,51,False,4779.0,0,Anomaly,Anomaly,0.11819502744905697
